Source,Target
APT:R' D' R D R' U2 R D' R' U2 D R,JBQ:R D' R D R' U2 R D' R' U2 D R'
APT:R' D' R D R' U2 R D' R' U2 D R,JPT:U R' D' R D R' U2 R D' R' U2 D R U'
APW:R' F R U2 R D' R' U2 R D R2 F' R,JOB:R U2 R D' R' U2 R D R2
APW:R' F R U2 R D' R' U2 R D R2 F' R,AWP:R' F R2 D' R' U2 R D R' U2 R' F' R
APW:R' F R U2 R D' R' U2 R D R2 F' R,DPW:U' R' F R U2 R D' R' U2 R D R2 F' R U
APW:R' F R U2 R D' R' U2 R D R2 F' R,JPW:U R' F R U2 R D' R' U2 R D R2 F' R U'
APX:U R U R' U2 R D' R' U R D R' U R U' R' U',GPC:R' U2 R D' R' U R D R' U R
APX:U R U R' U2 R D' R' U R D R' U R U' R' U',AXP:U R U R' U' R D' R' U' R D R' U2 R U' R' U'
APY:R U' D' R D R' U' R D' R' U2 D R',JAP:U' D' R D R' U' R D' R' U2 D
APY:R U' D' R D R' U' R D' R' U2 D R',AYP:R U2 D' R D R' U R D' R' U D R'
APY:R U' D' R D R' U' R D' R' U2 D R',GCO:R' U' D' R D R' U' R D' R' U2 D R
APY:R U' D' R D R' U' R D' R' U2 D R',GQW:R' F' R U' D' R D R' U' R D' R' U2 D R' F R
APY:R U' D' R D R' U' R D' R' U2 D R',WTQ:R2 F' R U' D' R D R' U' R D' R' U2 D R' F R2
APZ:U2 R B R2 D' R U R' D R U' R B' R' U2,GPZ:R B R2 D' R U R' D R U' R B' R'
APZ:U2 R B R2 D' R U R' D R U' R B' R' U2,AZP:U2 R B R' U R' D' R U' R' D R2 B' R' U2
APZ:U2 R B R2 D' R U R' D R U' R B' R' U2,DPZ:U R B R2 D' R U R' D R U' R B' R' U'
APZ:U2 R B R2 D' R U R' D R U' R B' R' U2,JPZ:U' R B R2 D' R U R' D R U' R B' R' U
AQD:U R D' R' U R D R' U2,JGQ:U' R D' R' U R D R'
AQD:U R D' R' U R D R' U2,ATD:U D R D' R' U R D R' U2 D'
AQD:U R D' R' U R D R' U2,DMQ:R F R' U R D' R' U R D R' U2 R F' R'
AQD:U R D' R' U R D R' U2,GDQ:R D' R' U R D R' U'
AQD:U R D' R' U R D R' U2,JEB:R2 D R' U R D' R' U R D R' U2 R D' R2
AQD:U R D' R' U R D R' U2,JQA:U2 R D' R' U R D R' U
AQE:R U R' U' R D' R' U2 R D R' U' R U' R',GFP:R' U' R D' R' U2 R D R' U' R
AQF:U2 R U' R' U R D' R' U' R U D R' U2,JHO:R U' R' U R D' R' U' R U D R'
AQF:U2 R U' R' U R D' R' U' R U D R' U2,GEO:U R U' R' U R D' R' U' R U D R' U'
